count,channel_1,channel_2,channel_3,channel_4,acc_x,acc_y,acc_z,resistance_1,resistance_2,resistance_3,resistance_4,resistance_5,timestamp,marker,class
135.0,-981.368448,-353.906733,-888.115912,-291.252189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.644632,0.0,eyes_blink
136.0,-982.438059,-373.533728,-907.238021,-300.579499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.672998,0.0,eyes_blink
136.0,-954.796459,-371.873212,-898.845685,-287.691804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.673016,0.0,eyes_blink
137.0,-976.05405,-353.566402,-879.652519,-281.569588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.673247,0.0,eyes_blink
137.0,-976.547717,-341.348149,-872.011903,-292.370419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.673269,0.0,eyes_blink
138.0,-955.323785,-363.74267,-899.212196,-298.68711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.702975,0.0,eyes_blink
138.0,-957.818298,-377.064193,-913.405116,-298.32434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.703006,0.0,eyes_blink
139.0,-981.607801,-361.592227,-882.472403,-279.834274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.703234,0.0,eyes_blink
139.0,-971.300637,-359.157552,-887.82794,-300.310227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.703259,0.0,eyes_blink
140.0,-977.17602,-374.5622,-906.007594,-300.055913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.703739,0.0,eyes_blink
140.0,-981.383407,-380.789134,-912.230787,-292.882785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.703749,0.0,eyes_blink
141.0,-979.05719,-364.902039,-890.872219,-286.689511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.7047,0.0,eyes_blink
141.0,-974.015805,-352.646387,-882.008656,-295.672751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.704717,0.0,eyes_blink
142.0,-979.03475,-368.428764,-904.960422,-297.363185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.733226,0.0,eyes_blink
142.0,-978.496205,-387.483555,-920.043438,-295.100546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.733246,0.0,eyes_blink
143.0,-981.129094,-366.906625,-889.997082,-285.193551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.763003,0.0,eyes_blink
143.0,-955.85111,-338.711519,-871.035789,-280.111027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.763023,0.0,eyes_blink
144.0,-969.31849,-355.51115,-893.748202,-289.053128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.793025,0.0,eyes_blink
144.0,-982.883107,-372.639892,-904.313419,-287.381392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.793043,0.0,eyes_blink
145.0,-962.489433,-350.114474,-877.74143,-275.200538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.79328,0.0,eyes_blink
145.0,-943.644077,-333.430781,-870.25789,-279.23963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.793303,0.0,eyes_blink
146.0,-970.182407,-347.571342,-891.751095,-285.926571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.793758,0.0,eyes_blink
146.0,-979.573296,-359.755936,-895.113265,-280.466317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.793769,0.0,eyes_blink
147.0,-986.499591,-348.483878,-877.487117,-270.551843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.794736,0.0,eyes_blink
147.0,-968.678967,-330.341623,-865.945785,-279.366787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.794771,0.0,eyes_blink
148.0,-951.318352,-348.581115,-886.047748,-281.139499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.795174,0.0,eyes_blink
148.0,-948.135697,-359.000477,-894.870172,-276.038276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.795196,0.0,eyes_blink
149.0,-996.122353,-350.619361,-879.517882,-278.177499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.79621,0.0,eyes_blink
149.0,-990.396566,-336.81165,-872.819722,-282.351227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.796235,0.0,eyes_blink
151.0,-983.616128,-323.882816,-859.486978,-279.078814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023696.823002,0.0,eyes_blink
